1,,421.88,414.28,39.555
2,,425.02,387.8,36.8774
3,,426.62,359.06,31.225
4,,425.53,348.04,27.416
5,,440.31,344.57,27.7945
6,,454.84,352.89,28.4999
7,,442.45,402.88,37.951
8,,393.86,393.47,32.5395
9,,387.57,358.85,29.426
10,,376.62,358.59,29.223
11,,364.21,348.66,28.2538
12,,340.89,362.8,26.8212
13,,347.62,335.73,26.2299
14,,362.69,331.84,26.6612
15,,402.35,351.82,28.4848
16,,399.61,335.09,26.6922
17,,333.34,331.15,24.6894
18,,322.26,344.1,24.3684
19,,381.66,326.8,26.7581
20,,331.42,396.59,28.7137
21,,317.25,372.7,25.8215
22,,313.74,404.54,26.9055
23,,349.16,416.04,31.7509
24,,367.77,424.7,34.8919
25,,383.5,414.85,37.4818
26,,370.21,399.59,32.5866
27,,353.32,386.89,30.5459
28,,336.82,383.23,29.2504
29,,322.59,421.13,27.7593
30,,316.53,468.29,27.0276
31,,313.32,434.93,26.5662
32,,324.05,456.71,28.8742
33,,372.23,491.54,33.0459
34,,363.75,470.83,32.6194
35,,397.87,414.07,39.5041
36,,368.77,446.84,34.5865
37,,313.25,438,30.1398
38,,344.36,456.08,30.1871
39,,401.02,472.76,38.5963
40,,432.82,479.13,42.3405
41,,422.7,499.63,40.7577
42,,402.93,492.35,37.9286
43,,390.16,489.32,36.34
44,,383.25,449.7,36.9367
45,,406.78,444.56,41.6945
46,,427.23,464.5,43.5075
47,,439.93,503.6,41.0365
48,,437.89,515.85,39.9929
49,,493.01,505.89,33.8673
50,,490.18,485.63,36.4479
51,,472.49,493.83,39.8801
52,,450.67,482.52,42.3327
53,,461.98,508.1,40.2172
54,,382.32,513.7,36.919
55,,466.79,532.14,37.7726
56,,446.42,547.81,38.3385
57,,429.29,555.09,37.5484
58,,466.8,550.59,37.233
59,,490.08,542.39,33.8351
60,,481.02,562.32,34.4659
61,,461.23,582.49,34.1418
62,,474.09,585.43,32.5303
63,,464.84,596.28,31.7542
64,,494.1,573.76,31.3335
65,,505.61,567.67,29.5076
66,,465.51,435.85,40.6101
67,,438.86,446.92,43.5085
68,,462.16,451.21,42.1787
69,,442.84,425.14,42.2289
70,,471.64,465.83,41.4353
71,,478.39,444.54,39.4434
72,,489.73,436.92,35.15
73,,502.75,446.87,32.0204
74,,499.59,424.8,31.1902
75,,477.23,415.55,36.1728
76,,459.37,405.41,36.2749
77,,487.67,407.98,31.2808
78,,511.39,410.21,29.09
79,,495.92,392.51,29.1024
80,,524.73,434.96,28.8913
81,,523.57,415.92,28.6408
82,,504.81,381.47,28.3432
83,,495.85,365.02,27.6838
84,,500.58,352.99,26.1047
85,,486.82,348.82,26.2623
86,,471.08,350.47,27.5493
87,,521.57,357.64,25.8516
88,,526.14,387.14,25.9322
89,,538.09,418.4,25.2847
90,,533.77,448.49,25.8802
91,,494.46,465.16,34.603
92,,508.1,458.79,31.0874
93,,519.64,503.63,28.9581
94,,505.74,504.38,29.4945
95,,513.9,487.85,29.3574
96,,522.38,473.73,28.2401
97,,534.46,474.65,28.1753
98,,537.72,501.33,27.601
99,,530.08,526.89,29.1993
100,,519.63,538.63,29.2767
101,,431.95,327.38,26.6129
102,,419.39,326.22,26.2965
103,,400.14,591.41,31.3133
104,,375.51,580.18,30.2236
105,,381.36,603.18,28.8233
106,,341.71,529.15,27.0601
107,,408.9,583.86,33.6867
108,,419.84,565.07,36.2957
109,,402.71,544.34,36.3476
110,,403.82,568.31,34.7975
111,,388.7,517.51,35.1603
112,,366.48,521.11,31.672
113,,349.28,539.64,29.138
114,,335.71,506.62,26.9185
115,,350.97,505.15,29.6483
116,,379.74,494.79,33.5259
117,,374.64,511.44,33.1928
118,,354.75,493.14,30.8649
119,,508.67,549.66,30.3146
120,,500.28,369.18,27.7
121,,431.06,442.8,43.9
122,,444.08,455.78,43.46
123,,374.57,461.02,35.5
124,,388.9,437.3,38.2
125,,407.54,399.61,37
126,,450.64,514.12,40.1
